餐廳名稱,消費時間,餐廳區域,餐廳地址,營業時間,電話,平均價位,推薦菜色
O pasta義大利餐廳,2017年11月,雲林,雲林縣斗六市四維路62號,11:30~14:00、17:00~21:00(星期六公休),0901387062,,
法米法式甜點,2018/03,雲林,雲林縣斗六市南興街17號,11:00~19:00(周二公休),(05)534-5499,,
綠隧道磚窯雞,2017年/01月,雲林,台灣雲林縣古坑鄉湳仔89號,週六~週日:早上09:00~晚上08:00,0953585950,,
Eating（虎尾店）,2017年/11月,雲林,雲林縣虎尾鎮中山路四段3-16號,週一~週日10:00-17:00,05-6333039,,
來興草魚湯,2018年/8月,雲林,雲林縣北港鎮文化路38-2號,AM6:00~PM2:30,,,
溫丼飯,2018年/3月,金門,台北市中正區金門街2-2號,11:30~14:30 17:00~20:30,02-23650528,,
加里曼丹印尼美食,2018年/4月,金門,台北市中正區金門街1號,平日11:40~15:00 17:00~20:00 週三休,02-23661415,,
Kakigori Toshihiko 日本冰專賣店,2018年/7月,金門,台北市中正區金門街2-2號,,無,,
NUKI COFFEE,2018年/5月,金門,台北市金門街5-1號,11:30 ~ 21:30,02-23653351,,
長榮山西拌麵,2018年/02月,金門,金門縣金沙鎮三山里山西村22號,11:00-14:00、17:00-21:00,082-351779,,
NUKI Coffee,2017年/10月,金門, 台北市中正區金門街5-1號,一-五11:30-21:30 / 六-日11:30-18:00,(02)2365-3351,,
壽記,106年/12月,金門,金門縣金城鎮莒光路一段50號,8:00-12:30,082327878,,
新大廟口活海鮮,2017年/12月,金門,金門縣金城鎮外武廟戲台,17:00-00:00,082320753,,
金門牛家莊,2017年/12月,金門,金門縣金城鎮民族路318巷5號,11:00-14:30，17:00-21:30,082320099,,
哇哇複合式餐飲(漁人部落),2018/07,蘭嶼,台東縣蘭嶼鄉紅頭村7-2號,11:30-14:00，16:30-20:00，週日公休,089-731615，0963-165-257,,
蘭嶼旅人·Rover,2018年/8月,蘭嶼,95241台東縣蘭嶼鄉25號之1(漁人村漁人溪旁),10:00 - 0:00,0933-089-849,,
東清三十三號,2018/07,蘭嶼,蘭嶼鄉東清村33號,06:00-13:00,0985-811-432,,
美亞美,2018.07,蘭嶼,台東縣蘭嶼鄉東清村1鄰東清23-1號,05:30-11:30,089-732949、0928-912355,,
營業時間：餐廳周五-週三 11:30 - 20:00,2018年/8月,蘭嶼,台灣台東縣蘭嶼鄉紅頭村漁人部落,,0905-156-879 / 0916-177-366,,
角落Bais咖啡館,2018年/8月,蘭嶼,952台東縣蘭嶼鄉朗島69-1號,周三 - 周日 13:00 - 18:00,無,,
醍醐味,2018年/10月,苗栗,苗栗縣頭份市建國路134號,10:00~20:00,(03)7687768,,
青松自在,107年7月,苗栗,苗栗縣三義鄉龍騰村外庄20-1號,週一~週五 11:00-17:30 / 週六~週日 11:00-18:00,03-7881666,,
2F,107年/7月,苗栗,苗栗市中華路45號,早餐07:00-11:00  午餐11:30-14:00(預約制),0937847848,,
DooCoffe景觀咖啡廳,2018/7,苗栗,苗栗縣公館鄉北河村北河21號,11:00-21:30,037  225252,,
越來越好吃,2018/10,苗栗,351苗栗縣頭份市上庄路25號,"10:30–13:30, 17:00–20:00（星期一 公休）",0935-788736,,
EQ早餐,2018年/9月,苗栗,苗栗縣頭份市信一街11號,週四~日 07:00am - 12:00pm,037-691868,,
竹南虱目魚大王,2018.07,苗栗,苗栗縣竹南鎮光復路58號,17:00~01:00,03-747-2169,,
養心無菜單料理,107年/6月,苗栗,苗栗縣苗栗市長安街81號,11:00-20:30,03 726 6110,,
綠葉方舟,2018年/12月,苗栗,367苗栗縣三義鄉勝興村12鄰綠舟路1號,星期一~五10:30–18:00；星期六日10:00–20:00,(03 )787 5868,,
桂花巷花茶湯圓(江記桂花釀),2018年4月,苗栗,苗栗縣南庄鄉文化路15號(桂花巷內),0900-1730(假日至1900),037-823386,,
慢慢來義式餐廳,2018/10,苗栗,351苗栗縣頭份市中央路101號 尚順育樂世界館 1 樓,,,,
小涼食,2018年/8月,苗栗,苗栗市至公路66號,"11:00-14:00,16:00-20:00",037-377628,,
鮮肉湯包,2018/10,苗栗,351苗栗縣頭份市中正路246號,06:00–13:00,(03)769 6114,,
雲也居一休閒農場,2018年8月,苗栗,苗栗縣大湖鄉栗林村薑麻園6號,上午十一點至晚上七點，周四公休,037-951530,,
台灣尚黑正宗黑皮臭豆腐,2018/08,苗栗,苗栗縣三義鄉龍騰村龍騰斷橋龍騰市集2號,09:00 ~ 17:00; 禮拜二三四五公休,0937-220-951,,
陳教練咖啡莊園,2018年/4月,苗栗,苗栗縣公館鄉福基村123-3號(公館福樂麵店對面),週二~週日12:00-18:00(週一公休),03-7234288,,
江技舊記,2018/08,苗栗,苗栗縣苗栗市新苗街88號,09:30 ~ 20:30,(03) 732-7803,,
Broccoli波克利麻辣香雞煲,2018/12,苗栗,351苗栗縣頭份市尚順路51號,11:00–22:00（星期二 公休）,0965-484033,,
范頭家客家餐館,2018/08,苗栗,苗栗縣頭份市和平路263號,11:00 ~ 14:00; 17:00 ~ 21:00,(03) 759-2588,,
艾蜜奇義大利坊,2018/12,苗栗,350苗栗縣竹南鎮環市路二段11號,,,,
碧絡角花園咖啡,2018年5月,苗栗,苗栗縣南庄鄉橫屏背25號,10:00-18:00 / 每週三公休,03-7825605,,
苗栗公館庭園餐廳--荷塘居,107年/6月,苗栗,苗栗縣公館鄉館南村13鄰332號,10:30-20:00,03723-3456,,
上頂牛排館,107年/5月,苗栗,苗栗縣苗栗市國華路960號,11:30-14:00  17:30-20:30,037-361235,,
上田咖啡莊園,107年5月,苗栗,苗栗縣通霄鎮福興里九鄰93之1號,週一~週五 10:00-17:00 / 週六~週日 9:00-20:00,03-7783798,,
飛牛牧場（紅穀倉）,2017年12月,苗栗,苗栗縣通霄鎮南和里166號,7:00-22:00,03 778 2999,,
來初吐司吧,2017年/12月,苗栗,苗栗縣頭份市建國路二段98號,週一~週日6:30-13:00,0921-083304,,
叁代堂,2018年/12月,苗栗, 367苗栗縣三義鄉勝興村水美街283-1號,星期一~五08:00–20:30；星期六、星期日07:30–21:00, 03 787 5070,,
南庄雲水度假森林,2018年10月,苗栗,苗栗縣南庄鄉南江村3鄰東江31-3號,9:00-22:00,03-7825285,,
波波House,2018年/11月,苗栗,苗栗縣竹南鎮光復路516號,08:00-16:00(週四公休),037-625558,,
英姐小吃店回鄉麵,2018.08,苗栗,苗栗縣南庄鄉中正路33號,06:00–16:00(一~五)；06:00–17:00(六日),03-782-1321,,
柴燒卡帕尼,,苗栗,苗栗縣苗栗市莊敬街8號,10:30-20:30,,,
金榜麵館,2018年/5月,苗栗,苗栗縣三義鄉中正路170-7號,07:00~20:00,037-873567,,
棗莊古藝庭園膳坊,18年/04月,苗栗,363苗栗縣公館鄉福星村館義路43之6號,"11:00–14:00, 17:15–20:00",03 723 9088,,
阿香小吃店,107年/8月,苗栗, 364苗栗縣大湖鄉,, 03 799 0741,每人平均價位：40-60元,
福樂麵店,2018年/6月,苗栗,苗栗縣公館鄉福基村121號(福基派出所對面),週二 ~ 週五 10:00 ~ 14:00  17:00 ~ 20:00,037 224455,,
丈母娘豆干,2017年/12月,苗栗,苗栗縣南庄鄉中正路52號(南庄農會旁),10:00~17:30,037-822010,,
老先覺麻辣窯燒鍋（頭份尚順店）,2017年/10月,苗栗,苗栗縣頭份市尚順路52號,週一~週日11:30-10:30(週二公休),037-660306,,
夢鼎軒精緻客家餐飲,2018年/1月,苗栗,苗栗縣公館鄉華東街11號,AM11:00~PM8:00 (周一休),03-7222428,,
一喜燒肉,2018/02,苗栗,351苗栗縣頭份市中央路125-3號,"11:30–14:30, 17:30–23:00",03-7667676,,
松鶴小吃店,2017年/12月,苗栗,苗栗縣南庄鄉民生街13-43號(南庄市場內),06:00~17:00,03-7822435,,
安烘焙,2017年/12月,苗栗,苗栗縣頭份市中央路445號,10:00-21:00,037-688948,,
松鶴小吃/葉媽媽紅糟雞鴨/江記花蜜/丈母娘豆干/粿夫人米食,2018年/1月,苗栗,苗栗縣南庄鄉民生街13-43號(南庄市場),約AM9:00~PM5:30,,,
融華小吃,2017/10,苗栗,351苗栗縣頭份市文化街218號,05:30–21:00 (星期三 公休),03-7596900,,
橄欖樹咖啡民宿,2017年/10月,苗栗,苗栗縣南庄鄉7-6號,週一~週日9:00-19:00/週六9:00-20:00(公休日粉專公告),0919-822379,,
三義土雞城花園餐廳,2017年/2月,苗栗,苗栗縣三義鄉雙湖村11鄰雙草湖199號,(公休日不固定),0912015636,,
萌虎燒,107年4月,苗栗,苗栗市復興路二段花卉農場旁 51號,10:00(或15:00)(請看店家臉書粉絲團)~19:00(或賣完為止),未提供,,
洪台玉豆腐店,2018年/1月,苗栗,苗栗縣泰安鄉清安村1鄰13號,AM12:00~PM5:30 (周四休),,,
福堂餅行,2017年/12月,苗栗,苗栗縣頭份市中正二路166號,,037-691030,,
六角丼屋,2017/10,苗栗,351苗栗縣頭份市上庄路72號,,03-767 0518,,
公館牛肚大王,2017年/10月,苗栗, 苗栗縣公館鄉近光路2號,,037-222-177,,
江技舊記,2017年/08月,苗栗,苗栗縣苗栗市新苗街88號,09:30-20:30,03-732-7803,,
山度窯烤麵包,2017年/12月,苗栗,苗栗縣南庄鄉蓬萊村八卦力16-8號,週六至週二及國定假日 08:00-18:00,037-824080,,
Daddy & Mommy Bakery,2018年/3月,苗栗,苗栗縣後龍鎮中龍里市興8號,10:00 – 20:00（週二公休）,03 773 0852,,
叁代堂,2017年/11月,苗栗,    苗栗縣三義鄉勝興村水美街283-1號,,    +886-37-875 070,,
野火美式炭火牛排,2017/10,苗栗,351苗栗縣頭份市中興路820號,17:00–23:00，星期二公休, 0905-084 134,,
魔法咖哩-頭份店,2018/02,苗栗,351苗栗縣頭份市中央路103號,11:00–21:00,(03)766-0270,,
詹師傅越式羊肉爐,2017年/12月,苗栗,苗栗縣竹南鎮忠義街15號,15:00-00:00,037-468987,,
鮮肉湯包,2017年/12月,苗栗,苗栗縣頭份市中正路246號,06:00-13:00,037-696114,,
阿蘭姐水晶餃,2017年/10月,苗栗,苗栗市新苗街61巷49號(名小喫對面巷子進去走到底左手邊),0630~1215,037 327077,,
快樂蘇打,2017/10月,苗栗,苗栗市饒平街24號,11:30~14:30 17:30~21:00,037371896,,
桃之屋客家小館,2018年/1月,苗栗,苗栗縣公館鄉五谷村13鄰103號,AM11:00~PM8:00 (周日休),,,
江記桂花巷花茶湯圓,2017年/12月,苗栗,苗栗縣南庄鄉文化路15號,平日09:00~17:30/假日09:00~19:00,037-823386,,
Choco Choco 手工巧克力,2018年/2月,花蓮,花蓮市忠孝街70號,14:00-22:00（每週二公休）,,,
莉歐Leo,2018年/8月,花蓮,花蓮市莊敬路208號,,03-8566311,每人平均價位：210,
歐兔啡食館O2 Deli/花蓮博愛館,107年/6月,花蓮,花蓮縣花蓮市博愛街232號,中午11:30-14:30 晚間17:00-20:30(週一公休),03-8355961,,
cume咖哩,2018年/7月,花蓮,花蓮縣花蓮市林政街8巷3弄2號, 12:00–14:00｜17:00–20:00（週三、週四休息）, 03 831 0430,,
泰源幽谷獼米,107年/7月,花蓮,花蓮縣東河鄉泰源村牧場63號,各項體驗活動採預約制,089-892030,,
國聲沾醬香雞排,107年/9月,花蓮,花蓮縣花蓮市林森路226號,平假日15:00-23:00(週三公休),03-8324297,,
邊境法式甜點,2018年/8月,花蓮,花蓮縣花蓮市明智街73號,11:00~19:00 週二三休,03-8315800,,
Circle流行Mv餐廳,107年/6月,花蓮,花蓮縣花蓮市復興新村36號,平假日12:00-20:00 (週一公休),03-8350105,,
橋頭臭豆腐(玉里橋頭臭豆腐),2018年/1月(實際用餐時間2017年/12月31日),花蓮,花蓮縣玉里鎮民權街15號,下午04:00~晚上10:30,(03)888254588,,
樂咖哩,2018年/8月,花蓮,花蓮市中原路610號,,03-8358624,每人平均價位：195,
四代務農,107年/6月,花蓮,花蓮縣鳳林鎮大榮里大忠路1號,中午11:00-14:00 晚間17:00-20:00,0921-750866,,
海風南洋餐室,2018年/11月,花蓮,花蓮市博愛街160號,11:30-14:30 / 17:30-20:30,03-8350138,,
CUME咖哩,107年/10月,花蓮,花蓮縣花蓮市林政街8巷3弄2號,中午12:00-14:00 晚間17:00-20:00(週三四公休),03-8310430,,
星巴克洄瀾門市Starbucks,107年/10月,花蓮,花蓮縣吉安鄉南濱路一段505號,平假日09:00-21:00(週五六延後一小時關店),03-8420014,,
波米咖啡,2018年/8月,花蓮,花蓮市和平路581號2樓,,03-8355588,每人平均價位：230,
珈啡花,2018年/8月,花蓮,花蓮縣花蓮市忠孝街79號,, 03 832 5172,,
王記茶舖人文茶堂,107年/9月,花蓮,花蓮縣花蓮市明心街1-20號,平假日08:30-23:00,03-8315018,,
車頭虱目魚店,2018 年/ 7 月,花蓮,花蓮縣花蓮市國聯三路6號,17:00~00:00,038357816,,
廢墟貓廚房,107年/10月,花蓮,花蓮縣花蓮市民德四街47號1樓,平假日11:30-20:00(週一公休),0905-811278,,
滇緬玉美食,107年/4月,花蓮,花蓮縣花蓮市化道路7-1號,中午11:00-14:00 晚間17:00-20:00(週一公休),03-8233935,,
OUR老房子咖啡屋,2018年/12月,花蓮,花蓮-玉里,14:00~24:00,0919 289 979,,
森山舍morning mountain,107年/6月,花蓮,花蓮縣花蓮市林政街10號,平日10:00-21:00(假日提早1小時營業),03-8351987,,
阿米哥手工薄皮披薩Amigo Pizza,107年/10月,花蓮,花蓮縣花蓮市建國路一段283號,中午11:00-14:00 晚間17:00-20:00(週一公休),03-8565722,,
七星潭慕名私房料理,107年/11月,花蓮,花蓮縣新城鄉明潭街10巷23號,中午11:00-14:30 晚間17:30-21:00,03-8239336,,
肉肉餐桌,2018年8月,花蓮,花蓮市中華路183號,11:00 - 14:00 、 17:30 - 21:00 (週一公休),03 8351183,,
以諾廚房,107年/4月,花蓮,花蓮縣花蓮市商校街192-1號,中午11:00-14:00 晚間17:00-21:00(週三公休),03-8311324,,
獨角獸洋食館,2018年/4月,花蓮,花蓮市大同街15-1號,,03-8322372,每人平均價位：300,
田村壽司屋,107年/4月,花蓮,花蓮縣花蓮市德安一街225號,中午11:00-14:30 晚間16:30-20:30(週三公休),03-8348673,,
惠鈺停車場韭菜臭豆腐,107年/4月,花蓮,花蓮縣鳳林鎮中正路二段61號,平假日13:00-18:00,0919-944148,,
黑潮拉麵,107年/3月,花蓮,花蓮縣花蓮市信義街52號,平假日17:00-20:30賣完為止,03-8351993,,
賴桑壽司屋,107年7月,花蓮,花蓮縣花蓮市林森路90號,,03-832-8917,每人平均價位：NT300~500元,
♥餐廳名稱：洄瀾灣景觀餐廳,,花蓮,♥地址：花蓮縣秀林鄉加灣65號（台九線193公里附近）,♥營業時間：11:30AM ~ 02:00PM / 05:30PM ~ 09:00PM,♥電話：03-826-8888,,
一碗小,107年9月,花蓮,花蓮縣花蓮市明禮路14巷1號,,03 832 3110,每人平均價位：NT150~200,
5+商行,2018年/10月,花蓮,花蓮市建國路75巷16弄6號,週一～週日 11:40～17:30(L.O.16:30),無,,
Choco Choco手工巧克力,107年/9月,花蓮,花蓮縣花蓮市忠孝街70號,平假日14:00-22:00(週二公休),,,
一旬野鍋13路,107年/10月,花蓮,花蓮縣花蓮市林森路297號,平日11:30-14:30 假日17:30-22:00,03-8310809,,
深夜食堂,2018年/8月,花蓮,花蓮市建國路6巷2號,17:30~售完 (不定休),0908 156 543,,
伊均蘭州拉麵,107年/8月,花蓮,花蓮縣壽豐鄉中正路95號,平日11:00-19:00 (假日公休),,,
王記茶舖,2018/5月,花蓮,花蓮縣花蓮市明心街1-20號,08:30 - 23:00,03-831-5018,,
鳥羽花香咖啡民宿早午餐,107年/6月,花蓮,花蓮縣吉安鄉吉興路二段71之2號,平假日09:00-16:30(週二公休),03-8531222,,
豆號,2018/5月,花蓮,花蓮縣花蓮市和平路440號,07:30 - 15:00 (禮拜一公休),03-831-0839,,
留海,2018年/4月,花蓮,花蓮市明義街55號,8:30-16:30(週三公休),03-8310128,,
藍海觀景餐廳Ocean Blue,107年/5月,花蓮,花蓮縣壽豐鄉鹽寮村大坑5-1號,平假日11:30-20:30(週二公休),03-8671408,,
怡味早餐店,107年/3月,花蓮,花蓮縣花蓮市南京街182號,平假日05:30-11:30(週二公休),03-8326998,,
老滷十三香,2018/3,花蓮,花蓮縣花蓮市博愛街159巷12號,11:30-14:00；17:30-20:00（周四公休，周日至周二中間不休息）,0929-557-711,,
不能說空間茶舖,107年/2月,花蓮,花蓮縣花蓮市進豐街48號,平假日11:00-23:00,03-8321005,,
潮味決個人砂鍋粥/花蓮中正店,107年/3月,花蓮,花蓮縣花蓮市中正路416號,平假日11:30-22:00,03-8315335,,
美艷小食堂,107年/5月,花蓮,花蓮縣新城鄉新興路57號,平假日10:30-20:30(週三公休),0975-326418,,
花崗山剝皮辣椒,2018年/4月,花蓮,花蓮縣花蓮市花崗街44巷3號,10:00-22:00,03-8350562,,
安娜咖啡Anna Coffee & Tea,107年/5月,花蓮,花蓮縣花蓮市國聯五路137號,平假日12:00-23:00 (週四公休),03-8362186,,
Zero距離早午餐,107年/10月,花蓮,花蓮縣壽豐鄉中正路87號,平日07:00-14:00 假日08:00-14:00,0905-494185,,
海風南洋餐室,107年/8月,花蓮,花蓮縣花蓮市博愛街160號,中午11:30-14:30 晚間17:30-20:30(週一公休),03-8350138,,
越南咖啡112,2018年/12月,花蓮,花蓮市新港街76號,,03-8337468,每人平均價位：140,
暹羅泰食,2018年/9月,花蓮,花蓮市復興街69號,AM11:00 ~ 14:00 、PM17:00 ~ 20:30,(03)8338-600,,
文華早餐專賣店,107年/9月,花蓮,花蓮縣花蓮市東興三街132號,平日06:00-10:30 假日06:00-11:00,03-8221996,,
Mr.Sam山姆先生咖啡館,107年/10月,花蓮,花蓮縣壽豐鄉樹湖20號,平假日11:00-17:00(週四公休),03-8656518,,
菊琳早午餐,2018年/8月,花蓮,花蓮市進豐街22巷15號,8:30-16:00,03-8353133,,
「看巷小」什麼玩藝+咖啡吧,107年/10月,花蓮,花蓮市博愛街213號2F&後院,週五到日14:00-22:00(平日公休),0953-759000,,
洄瀾灣景觀餐廳,2018年/6月,花蓮,花蓮縣秀林鄉景美村加灣6-5號 （有停車場）,11:30-14:00，17:30-21:00,03-826-8888（當天食材，一定要先預約）,,
樹屋風味餐,107年/3月,花蓮,花蓮縣壽豐鄉環潭南路2號,中午11:00-14:00 晚間17:00-20:00(週二公休),03-8641888,,
香港角，咖啡Bricky Home,107年/4月,花蓮,花蓮縣花蓮市國盛一街156號,僅營業五六日13:00-18:00,0963-775223,,
老牌炸蛋蔥油餅/約伯賞茶,2018年/5月,花蓮,老牌炸蛋蔥油餅:花蓮市復興街110巷2號,,老牌炸蛋蔥油餅:0955-282-038,,
半寓咖啡,107年/3月,花蓮,花蓮縣花蓮市成功街316號,平假日14:00-20:00(週三四公休),0911-763747,,
順富裕,2018年/4月,花蓮,花蓮市民國路79-1號,11:00-14:00；17:00-20:20,03-8326359,,
賴桑壽司屋,2018年/5月,花蓮,花蓮縣花蓮市林森路90號,週一~週四 11:00-13:30/17:00-20:30,(03) 832-8917,,
曾師傅手工麻糬,107年/6月,花蓮,花蓮縣花蓮市國聯一路57號A1,平假日07:00-22:00,03-8312051,,
傳承小館,107年/5月,花蓮,花蓮縣花蓮市建國路二段466號,中午11:00-14:00 晚間16:30-20:00(週五公休),03-8566555,,
小小兔子廚房,2018年/4月,花蓮,花蓮市明義街51號,,0983-965035,每人平均價位：30,
半天紅(用畫畫分享美食),2018年4月,花蓮,花蓮縣新城鄉老街,,,每人平均價位：100~250,
京湘排骨麵,2018/5月,花蓮,花蓮縣花蓮市中山路145號,10:50 - 21:50,03-832-2625,,
小和山谷,2018年/11月,花蓮,花蓮縣壽豐鄉壽文路43號,,03-8655172,每人平均價位：360,
秀綠披薩 義式料理,2018 10,花蓮,花蓮縣花蓮市商校街 32 號,12:00~14:00 17:30~21:00 週三休,03 835 2068,,
龍宮咖啡,2018年/9月,花蓮,花蓮縣新城鄉七星街79巷3號,9:00-18:00,0916-892127,,
Moderato中等速度早午餐,107年/3月,花蓮,花蓮縣花蓮市中華路144號,平日10:30-21:30 (週二公休),03-8332838,,
木樂日式炸豬排,106年/12月,花蓮,花蓮縣吉安鄉慈惠二街117-1號,中午11:30-14:00 晚間17:30-21:00(週一二公休),03-8536398,,
蛋糕甜,106年/12月/4日,花蓮,花蓮縣花蓮市榮正街78巷9-1號,10:00-20:00,03-833-0171,,
游翁韭菜臭豆腐,2017/10月,花蓮,花蓮縣鳳林鎮中正路二段20號,11:30-21:30,038763469,,
武昌街無名小吃,106年/10月,花蓮,花蓮縣光復鄉中山路三段124號,,,,
錢記早餐,2017年/10月,花蓮,花蓮縣花蓮市德安一街213號,,,每人平均價位：50,
貓山王新馬料理,107年/2月,花蓮,花蓮縣花蓮市和平路486號,中午09:30-14:00 晚間17:00-20:30,03-8316276,,
藍色小山歐義廚房,106年/9月,花蓮,花蓮縣玉里鎮光復路156號,中午11:00-14:30 晚間17:00-21:00  (週一公休),03-8885385,,
練習曲書店,107年/1月,花蓮,花蓮縣新城鄉信義路252號,平日09:00-20:00 (六日延後2小時),0929-102286,,
客庄玩美食坊,106年/11月,花蓮,花蓮縣鳳林鎮信義路189號,平假日10:30-19:30,03-8760533,,
谷鑫鮮肉湯包,2018年/2月,花蓮,花蓮市中山路464號,11:00-14:00；17:00-21:00,03-8332516,,
6吋盤早午餐/花蓮博愛店,106年/11月,花蓮,花蓮縣花蓮市博愛街185號,平假日07:00-14:00(週三公休),03-8360198,,
港龍燒臘便當,106年/10月,花蓮,花蓮縣壽豐鄉志學村中正路99號,中午10:30-13:30 晚間16:00-19:00(週五六公休),03-8663901,,
香臣小館,106年/10月,花蓮,花蓮縣鳳林鎮中正路一段161號,中午10:30-14:00   晚間17:00-19:00,03-8760607,,
北觀食堂 花蓮吉安,2017年/9月,花蓮,花蓮縣吉安鄉自立路二段42號,11:00~13:00 17:00~20:00 週一公休,0919908477,,
惦惦lab,106年/9月,花蓮,花蓮縣吉安鄉中興路345號,平假日10:00-17:00(週一公休),03-8545537,,
惦惦 lab:tiamtiam,106年/12月/2日,花蓮,花蓮縣吉安鄉中興路345號(吉安慶修院旁),10:00-17:00,03-857-5537,,
肉肉ROUROU,107年/3月,花蓮,花蓮縣花蓮市中華路183號,中午11:00-14:00 晚間17:30-21:00(週一公休),03-8351183,,
山胡椒風味小館,106年/11月,花蓮,花蓮縣鳳林鎮長橋路137-2號,平假日10:00-20:00,03-8751366,,
愛上這味懷舊餐廳,106年/10月,花蓮,花蓮縣花蓮市林森路280號,平假日17:00-00:00(週四公休),03-8359527,,
賀田屋蓋飯咖哩,106年/9月,花蓮,花蓮縣壽豐鄉志學村中正路125號,中午11:00-13:30 晚間17:00-20:00 (週三公休),0911-896641,,
北濱桶仔雞,106年/11月,花蓮,花蓮縣花蓮市林森路153號,平假日08:30-19:30,03-8310606,,
三理堂早餐店,106年/12月,花蓮,花蓮縣鳳林鎮光復路24號,平假日04:00-11:00,03-8762442,,
流奶與蜜,107年/1月,花蓮,花蓮縣花蓮市民權八街60號,中午11:00-14:30 晚間17:00-20:30(週三公休),03-8222282,,
浮室,2017年/8月,花蓮,花蓮市成功街280號,,,每人平均價位：250,
蓁菓湜,2017年/10月,花蓮,花蓮市延平街148巷2號,12:00-14:00;18:00-22:00,03-835-9559,,
黎明紅茶,107年/1月,花蓮,花蓮縣花蓮市南京街185號,平假日06:00-18:00,03-8356883,,
花東鴨莊,106年/11月,花蓮,花蓮縣光復鄉中山路2段307號,平假日08:00-19:30,03-8705960,,
嘟嘟車曼谷手沖茶/花蓮福町店,107年/2月,花蓮,花蓮縣花蓮市中華路39號之7,平假日14:00-23:45,0989-037618,,
松湖驛站,106年/10月,花蓮,花蓮縣吉安鄉吉豐路五段15號,平假日11:00-20:30 (週一公休),03-8513388,,
林記明禮路蔥油餅,106年/10月,花蓮,花蓮縣花蓮市明禮路18-3號,平假日13:00-18:30,0965-006589,,
尼克炸雞花蓮創始店,106年/10月,花蓮,花蓮縣吉安鄉中華路二段276號,平假日16:00-23:00,0980-618070,,
林田山小吃部,106年/12月,花蓮,花蓮縣鳳林鎮森榮里林森路99巷99號,,0972-111439,,
閒來坐羊肉爐,106年/12月,花蓮,花蓮縣壽豐鄉豐裡村中山路133號,冬天的晚上,03-8654375,,
棉花糖早午餐,106年/11月,花蓮,花蓮縣花蓮市林森路205號,平假日08:00-15:00,03-8330539,,
幽靈餐車,107年/11月,花蓮,花蓮縣吉安鄉建國路一段162號,中午11:30-13:30 晚間18:00-00:00(週四公休),03-8466188,,
小巷茉莉,2018年/8月,花蓮,花蓮市三民街62號,12:00-20:30,03-8333562,,
滇緬玉,2018年/10月,花蓮,花蓮市化道路7-1號,,03-8233935,每人平均價位：200,
佳興冰果室,107年7月,花蓮,花蓮縣新城鄉博愛路22號,,03 861 1888,每人平均價位：NT100~300元,
花蓮香扁食(中正店),106年/12月/4日,花蓮,花蓮市中正路351號,,03-833-5423,每人平均價位：100/人,
胡仕托鬆餅woodstock pancake,107年/10月,花蓮,花蓮縣花蓮市國盛二街四號,平日13:30-19:30 假日12:00-19:30(週一二公休),03-8353367,,
獵人廚房wild foods,107年/10月,花蓮,花蓮縣花蓮市東興二街13巷3號,中午11:30-14:30 晚間17:30-20:30,0903-656576,,
菇菇早午餐,2018年/8月,花蓮,花蓮市建國路二段776號,9:00-14:00,03-8570618,,
立川漁場五餅二魚餐廳,2018年/08月,花蓮,花蓮縣壽豐鄉共和村漁池路45號,11:00~15:00，17:00~21:00,03-8651333,,
小巷茉莉 MôLi Café,107年/10月,花蓮,花蓮縣花蓮市三民街62號,平假日12:00-20:30(週一公休),03-8333562,,
國光沾醬雞排,107年/10月,花蓮,花蓮縣花蓮市中正路98號,平假日19:00-01:00,03-8335365,,
Fun Table,2018年/8月,花蓮,花蓮縣吉安鄉明義六街38巷22號,9:00-18:00,0952-464345,,
Country Mother's鄉村媽媽,107年/6月,花蓮,花蓮縣花蓮市府前路34號,平假日06:30-14:00(週三公休),03-8236008,,
耕壽司,107年/6月,花蓮,花蓮縣花蓮市節約街16-1號,中午12:00-14:00 晚間16:00-00:00(假日中午不休息),03-8321663,,
蔡記豆花,2018年/8月,花蓮,花蓮縣花蓮市民國路73號,13:30~22:30 周二休,03-8313533,,
歪歪歪甜點,107年/7月,花蓮,花蓮縣花蓮市中山路16巷18號,平假日13:00-21:00,03-8331628,,
慕名,107年/6月,花蓮," 23 明潭街10巷, 新城鄉花蓮市971",, 03 823 9336,,
叁丸日式料理,107年/9月,花蓮,花蓮縣花蓮市林森路293巷8號,中午11:00-14:00 晚間17:00-21:30,03-8360999,,
MULTA美好商行,107年/2月,花蓮,花蓮縣花蓮市中山路192號,平假日08:00-22:00,03-8359819,,
液香扁食,2017年/10月,花蓮,花蓮縣花蓮市信義街42號,10:00 - 13:30；16:00 - 20:30,03 832 6761,,
小房子涼水舖,2018年/1月,花蓮,花蓮市和平路247號,,03-8311489,每人平均價位：65,
阿蓮麵店,2017年/10月,花蓮,花蓮縣玉里鎮民權街57號,06:30 - 15:00,無,,
小灶房,106年/12月,花蓮,花蓮縣壽豐鄉志學村中正路52巷13號,平假日11:00-19:30(週六公休),0955-290686,,
盛夏果實,2017/9,花蓮,花蓮縣壽豐鄉志學村中正路95號,9:00-16:00,03-866-2014,,
好樹涼糖,106年/11月,花蓮,花蓮縣花蓮市中美路117之1號,平假日13:30-20:00(週二公休),03-8232003,,
鄉村小屋+咖啡2店& Cafe,2017/12,花蓮,花蓮縣鳳林鎮中正路一段357號,10:30-15:30；17:00-20:00（周四公休）,02-8912-3553,,
